abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,print_section
"Sup Ct upholds sentences of 18 dissidents, including former Pres Yun Po Sun and opposition Pres canidate Kim Dae Jung, for violating presidential emergency decree in Mar '76 (M)",https://www.nytimes.com/1977/03/22/archives/korea-dissidents-jail-terms-upheld.html,"Sup Ct upholds sentences of 18 dissidents, including former Pres Yun Po Sun and opposition Pres canidate Kim Dae Jung, for violating presidential emergency decree in Mar '76 (M)","SEOUL, South Korea, Tuesday, March 22 (Reuters)—The South Korean Supreme Court today upheld sentences of five years in prison imposed on former President Yun Po Sun and on Kim Dae Jung, the opposition presidential candidate in 1971, under a presidential emergency decree.",2,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}]",1977-03-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/9c6e080a-7878-5c7d-999d-95548e1325e3,310,nyt://article/9c6e080a-7878-5c7d-999d-95548e1325e3,Korea Dissidents’,,,Korea Dissidents’,,,,,[],,
"ed on current re-exam of tripartite relationship between US, S Korea and Japan; notes recent S Korean-Japanese Cabinet conf and visit to S Korea and Japan by Sec Schlesinger, with discussion of phasedown of US forces in Korea; says US should be wary of keeping more exposed and committed position in S Korea than its own global interests, and interests of Japan, necessarily require",https://www.nytimes.com/1975/09/20/archives/the-korean-triangle.html,"ed on current re-exam of tripartite relationship between US, S Korea and Japan; notes recent S Korean-Japanese Cabinet conf and visit to S Korea and Japan by Sec Schlesinger, with discussion of phasedown of US forces in Korea; says US should be wa...","The shifting tripartite relationship among the United States, South Korea and Japan is once again coming under far‐reaching re‐examination in all three capitals, now that the initial fears of post‐Vietnam defeatism have faded among the Asian allies.",28,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}]",1975-09-20T05:00:00+0000,article,None,Archives,Archives,nyt://article/cebdb083-a468-58d5-8c5a-78f82f1e1b7f,304,nyt://article/cebdb083-a468-58d5-8c5a-78f82f1e1b7f,The Korean Triangle,,,The Korean Triangle,,,,,[],,
ed scoring recent pol arrests by S Korean Pres Park questions continued displays of Amer mil support to Park regime (S),https://www.nytimes.com/1976/03/12/archives/korean-democracy.html,ed scoring recent pol arrests by S Korean Pres Park questions continued displays of Amer mil support to Park regime (S),"“We're much better than Spain,” said a senior South Korean official a few months ago, attempting to impress a visitor with the democratic trappings of President Park Chung Hee's regime. After the murky events of the past few days in Seoul, even that questionable claim seems inappropriate.",31,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}]",1976-03-12T05:00:00+0000,article,None,Archives,Archives,nyt://article/aefae3d7-5982-5e82-ad9b-4e40506da2df,243,nyt://article/aefae3d7-5982-5e82-ad9b-4e40506da2df,Korean ‘Democracy’,,,Korean ‘Democracy’,,,,,[],,
"ed commenting on slow pace of N and S Korean reunification talks, hails fact that such long-implacable rivals are meeting at all; discusses some factors that hamper talks, particularly anachronistic presence of UN command in Korea; suggests US take initiative toward reconsidering UN role in country",https://www.nytimes.com/1972/12/05/archives/talking-in-korea.html,"ed commenting on slow pace of N and S Korean reunification talks, hails fact that such long-implacable rivals are meeting at all; discusses some factors that hamper talks, particularly anachronistic presence of UN command in Korea; suggests US tak...",The slow pace of negotiations between the regimes of North and South Korea need provoke neither surprise nor dismay. It is still little short of stunning that these long‐implacable rivals are in fact talking to each other at all.,46,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Korean War', 'rank': 2, 'major': 'N'}]",1972-12-05T05:00:00+0000,article,None,Archives,Archives,nyt://article/96963d1d-a5a0-50be-a62c-e880d3910f4d,377,nyt://article/96963d1d-a5a0-50be-a62c-e880d3910f4d,Talking in Korea,,,Talking in Korea,,,,,[],,
"ed holds S Korea has moved wisely to accept idea that both Korean states should be allowed to participate in deliberations of UN Gen Assembly this autumn on Korean question; discusses UN's prior status as defender of S Vietnam, position ed now holds untenable following contacts and negotiations by both Koreas aimed at reconciliation and unification; sees prospect now for dismantling of UN mil presence in support of S Korea",https://www.nytimes.com/1973/07/07/archives/the-two-koreas.html,"ed holds S Korea has moved wisely to accept idea that both Korean states should be allowed to participate in deliberations of UN Gen Assembly this autumn on Korean question; discusses UN's prior status as defender of S Vietnam, position ed now hol...",The Government of South Korea has moved wisely accept the idea that both Korean states should be allowed to participate in the deliberations of the United Nations General Assembly this autumn.,20,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Korean War', 'rank': 2, 'major': 'N'}]",1973-07-07T05:00:00+0000,article,None,Archives,Archives,nyt://article/e619215c-8705-56f6-9295-a64afa8a313d,325,nyt://article/e619215c-8705-56f6-9295-a64afa8a313d,The Two Koreas,,,The Two Koreas,,,,,[],,
"There can be no argument with the Administration's contention that the security of South Korea is integrally related to the security of Japan and the whole military balance in East Asia. But the legitimate question has been raised as to whether the repressive policies President Park Chung Bee are in fact promoting that security&#8212;or, alternatively, weakening South Korea's ability to withstand subversion or overt military attack from the North.",https://www.nytimes.com/1974/08/04/archives/korean-security.html,,"There can be no argument with the Administration's contention that the security of South Korea is integrally related to the security of Japan and the whole military balance in East Asia. But the legitimate question has been raised as to whether the repressive policies President Park Chung Bee are in fact promoting that security—or, alternatively, weakening South Korea's ability to withstand subversion or overt military attack from the North.",166,The New York Times,[],[],1974-08-04T05:00:00+0000,article,None,Archives,Archives,nyt://article/ca5069ab-f063-5b3f-9c70-656df09846dd,317,nyt://article/ca5069ab-f063-5b3f-9c70-656df09846dd,Korean ‘Security’,,,Korean ‘Security’,,,,,[],,
"Ed describes deferral of UN debate on changes in Korean truce arrangements as anticlimactic and wise move; notes a N Korean official for 1st time addressed Gen Assembly; says responsiblity for designing the Korean future is back where it belongs, with the 2 Korean states themselves",https://www.nytimes.com/1973/11/29/archives/korean-reprieve.html,"Ed describes deferral of UN debate on changes in Korean truce arrangements as anticlimactic and wise move; notes a N Korean official for 1st time addressed Gen Assembly; says responsiblity for designing the Korean future is back where it belongs, ...","In one of the more anticlimactic events of the diplomatic season, the United Nations General Assembly has wisely deferred for yet another year any change in the old Korean armistice arrangements. This month's debate on the issue, the first in three years, turned into a perfunctory affair instead of the anticipated Communistled assault on the continuing presence of a United Nations Command in South Korea and its garrison 40,000 United States troops.",42,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Korean War', 'rank': 2, 'major': 'N'}]",1973-11-29T05:00:00+0000,article,None,Archives,Archives,nyt://article/2e9cdd45-2596-545a-a5ff-2c1939d5530e,232,nyt://article/2e9cdd45-2596-545a-a5ff-2c1939d5530e,Korean Reprieve,,,Korean Reprieve,,,,,[],,
ed holds Korean agreement to renounce use of force and negotiate stable accommodation between Communist North and capitalist South 'promises to terminate world's most dangerous confrontation within partitioned country'; holds chief accomplishment of accords is setting up of North-South coordinating com as permanent negotiating body for outstanding issues,https://www.nytimes.com/1972/07/09/archives/stabilizing-korea.html,ed holds Korean agreement to renounce use of force and negotiate stable accommodation between Communist North and capitalist South 'promises to terminate world's most dangerous confrontation within partitioned country'; holds chief accomplishment ...,The surprise Fourth of July agreement in Korea to renounce the use of force and negotiate a stable accom modation between the Communist North and capitalist South promises to terminate the world's most dangerous confrontation within a partitioned country.,12,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'South Korea', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'KOREA', 'rank': 3, 'major': 'N'}]",1972-07-09T05:00:00+0000,article,None,Archives,Archives,nyt://article/848814cf-89c5-5e90-8a42-d56b0160f8f5,406,nyt://article/848814cf-89c5-5e90-8a42-d56b0160f8f5,Stabilizing Korea,,,Stabilizing Korea,,,,,[],,E
"Article by Choe U Gyun, N Korean journalist living in Japan, on Pres Carter reaffirming his plan to withdraw troops and nuclear weapons and his confirmation of US willingness to approach N Korea (M)",https://www.nytimes.com/1977/04/22/archives/the-us-and-korea.html,"Article by Choe U Gyun, N Korean journalist living in Japan, on Pres Carter reaffirming his plan to withdraw troops and nuclear weapons and his confirmation of US willingness to approach N Korea (M)",TOKYO — Two developments have attracted our attention. One is a recent press conference given by President Carter in which he reaffirmed his plan to withdraw troops and nuclear weapons from South Korea. Another is the confirmation of his Government's willingness to approach the Democratic People's Republic of Korea.,22,The New York Times,[],"[{'name': 'glocations', 'value': 'North Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'South Korea', 'rank': 2, 'major': 'N'}]",1977-04-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/85c8de50-3af9-5148-8295-18fe1fdef4bb,745,nyt://article/85c8de50-3af9-5148-8295-18fe1fdef4bb,The U.S. and Korea,,,The U.S. and Korea,,,,By Choe U Gyun,"[{'firstname': 'Choe', 'middlename': 'U <missing Dot>', 'lastname': 'Gyun', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
ed lauds accord between N and S Korea on goals for reunification as historic development of greatest importance for improving pol atmosphere in Asia and the world; warns 1st step towards rapprochment will not solve all problems or end all dangers on Korean peninsula,https://www.nytimes.com/1972/07/05/archives/the-korean-accord.html,ed lauds accord between N and S Korea on goals for reunification as historic development of greatest importance for improving pol atmosphere in Asia and the world; warns 1st step towards rapprochment will not solve all problems or end all dangers ...,This week's accord between South and North Korea is a historic development of the utmost importance for improving the political atmosphere in Asia and the world.,38,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}]",1972-07-05T05:00:00+0000,article,None,Archives,Archives,nyt://article/18a7f4a6-bc3f-579f-806e-770cdfb59a84,517,nyt://article/18a7f4a6-bc3f-579f-806e-770cdfb59a84,The Korean Accord,,,The Korean Accord,,,,,[],,
ed holds S Korean Pres Park Chung Hee's proclamation of martial law in S Korea strikes an embarrassing blow at US policy in Asia; scores it; holds new spirit of detente in Asia reduces any external threat to S Korea and Park's explanation for move is inadequate,https://www.nytimes.com/1972/10/22/archives/now-korea.html,ed holds S Korean Pres Park Chung Hee's proclamation of martial law in S Korea strikes an embarrassing blow at US policy in Asia; scores it; holds new spirit of detente in Asia reduces any external threat to S Korea and Park's explanation for move...,"President Park Chung Hee's proclamation of martial law in South Korea strikes another embarrassing blow at the moral underpinning of United States policy in Asia.Forty‐three thousand American troops, backed by massive economic and military aid, still stand guard at this free world frontier. Now the bastions of freedom have been breached, not by an external aggressor but by the very leader who was entrusted with preserving at least the semblance of free institutions on the Korean peninsula.",12,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'South Korea', 'rank': 2, 'major': 'N'}]",1972-10-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/2eec3149-03c4-5876-9b10-651b610d0173,281,nyt://article/2eec3149-03c4-5876-9b10-651b610d0173,Now Korea,,,Now Korea,,,,,[],,E
"ed lauds accord, reached on Aug 9, between Red Cross reprs from N and S Korea on procedures for full-scale conf on divided families; holds way is now open for substantive talks that may lead to normalizing relations between divided nation; holds Algerian move to bring about UN debate on Korea can, under present circumstances, only do harm",https://www.nytimes.com/1972/08/10/archives/progress-in-korea.html,"ed lauds accord, reached on Aug 9, between Red Cross reprs from N and S Korea on procedures for full-scale conf on divided families; holds way is now open for substantive talks that may lead to normalizing relations between divided nation; holds A...","The agreement reached yesterday between Red Cross representatives from North and South Korea on proce dures for a full‐scale conference on divided families followed a near‐breakdown of negotiations last week. That the way is now open for substantive talks covering mail exchanges, mutual visits and possible reunions of families testifies to the new political atmosphere created by the surprise nonaggression agreement concluded last month by the Seoul and Pyongyang Governments. That atmosphere augurs well for success not only on the fam ily problem but on trade and other contacts to normalize relations. ",34,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Korean War', 'rank': 2, 'major': 'N'}]",1972-08-10T05:00:00+0000,article,None,Archives,Archives,nyt://article/8600213e-729f-5b44-ab07-ce88617cbe11,244,nyt://article/8600213e-729f-5b44-ab07-ce88617cbe11,Progress in Korea,,,Progress in Korea,,,,,[],,
ed hails meetings between N and S Koreans as possible 1st step towards reunification; suggests relationship between E and W Ger might serve as example for Korea,https://www.nytimes.com/1971/08/30/archives/detente-in-korea.html,ed hails meetings between N and S Koreans as possible 1st step towards reunification; suggests relationship between E and W Ger might serve as example for Korea,"Two meetings totaling eleven minutes between Red Cross officials from Seoul and Pyongyang do not amount to reunification of Korea, but the first prospect in a quarter‐century that a modus vivendi may emerge on the Korean peninsula is welcome news. No bastion of the cold war has ever seemed more difficult to dismantle. ",28,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}]",1971-08-30T05:00:00+0000,article,None,Archives,Archives,nyt://article/984b7a60-5717-5f39-a557-e1b50d8caa73,327,nyt://article/984b7a60-5717-5f39-a557-e1b50d8caa73,Detente in Korea,,,Detente in Korea,,,,,[],,
